n	11.000000	8.000000
r	16.000000	10.000000
m	11.000000	8.000000
h	20.000000	5.000000
a	3.000000	1.000000
o	41.000000	10.000000
k	9.000000	6.000000
i	12.000000	7.000000
q	19.000000	10.000000
d	8.000000	4.000000
j	11.000000	6.000000
w	24.000000	12.000000
x	32.000000	15.000000
y	17.000000	14.000000
d	5.000000	3.000000
f	7.000000	8.000000
r	16.000000	9.000000
y	16.000000	12.000000
c	2.000000	2.000000
g	6.000000	5.000000
x	12.000000	11.000000
l	8.000000	7.000000
e	4.000000	4.000000
n	7.000000	8.000000
a	2.000000	1.000000
f	6.000000	5.000000
h	7.000000	6.000000
k	5.000000	6.000000
o	8.000000	8.000000
n	8.000000	8.000000
k	6.000000	6.000000
w	15.000000	11.000000
q	12.000000	9.000000
b	2.000000	2.000000
q	10.000000	9.000000
j	8.000000	6.000000
v	14.000000	12.000000
m	10.000000	7.000000
q	11.000000	9.000000
x	14.000000	13.000000
m	9.000000	8.000000
r	11.000000	10.000000
l	8.000000	7.000000
t	14.000000	11.000000
n	11.000000	8.000000
z	18.000000	18.000000
j	11.000000	9.000000
f	8.000000	5.000000
r	15.000000	10.000000
s	12.000000	10.000000
s	14.000000	10.000000
n	11.000000	9.000000
q	11.000000	9.000000
f	7.000000	5.000000
a	2.000000	1.000000
w	15.000000	12.000000
c	3.000000	2.000000
e	6.000000	4.000000
h	8.000000	6.000000
f	7.000000	5.000000
m	7.000000	15.000000
o	9.000000	8.000000
k	28.000000	9.000000
p	151.000000	10.000000
j	10.000000	7.000000
i	7.000000	7.000000
y	16.000000	11.000000
c	4.000000	3.000000
h	11.000000	6.000000
c	118.000000	3.000000
o	15.000000	9.000000
d	7.000000	4.000000
m	16.000000	9.000000
d	7.000000	4.000000
w	23.000000	12.000000
g	9.000000	6.000000
i	11.000000	7.000000
k	11.000000	7.000000
t	16.000000	11.000000
c	5.000000	3.000000
e	8.000000	5.000000
t	17.000000	11.000000
i	8.000000	6.000000
o	10.000000	8.000000
t	16.000000	12.000000
v	17.000000	12.000000
s	14.000000	9.000000
p	11.000000	8.000000
q	10.000000	9.000000
b	3.000000	2.000000
g	7.000000	5.000000
n	11.000000	8.000000
q	16.000000	10.000000
z	17.000000	16.000000
d	5.000000	4.000000
p	11.000000	8.000000
r	11.000000	9.000000
l	9.000000	7.000000
a	2.000000	1.000000
u	17.000000	13.000000
u	17.000000	24.000000
q	15.000000	10.000000
r	28.000000	12.000000
e	7.000000	5.000000
k	7.000000	6.000000
h	7.000000	7.000000
c	4.000000	2.000000
d	4.000000	4.000000
x	15.000000	11.000000
d	5.000000	4.000000
x	13.000000	12.000000
n	8.000000	7.000000
t	15.000000	13.000000
w	15.000000	12.000000
m	12.000000	8.000000
j	9.000000	6.000000
k	11.000000	9.000000
i	9.000000	6.000000
u	16.000000	13.000000
m	13.000000	8.000000
m	10.000000	8.000000
a	2.000000	2.000000
r	14.000000	27.000000
d	6.000000	4.000000
j	7.000000	6.000000
o	9.000000	8.000000
i	5.000000	6.000000
m	6.000000	7.000000
l	9.000000	8.000000
h	7.000000	6.000000
u	13.000000	11.000000
u	12.000000	10.000000
y	14.000000	11.000000
y	14.000000	11.000000
y	30.000000	15.000000
m	13.000000	9.000000
t	17.000000	15.000000
z	20.000000	16.000000
i	11.000000	8.000000
s	15.000000	12.000000
g	20.000000	5.000000
b	3.000000	2.000000
p	16.000000	13.000000
r	16.000000	11.000000
c	5.000000	4.000000
m	10.000000	8.000000
d	10.000000	4.000000
k	12.000000	7.000000
u	19.000000	12.000000
z	16.000000	26.000000
o	12.000000	9.000000
b	3.000000	2.000000
l	10.000000	8.000000
l	9.000000	7.000000
h	6.000000	6.000000
j	6.000000	6.000000
d	4.000000	4.000000
d	3.000000	3.000000
v	13.000000	11.000000
t	12.000000	11.000000
b	3.000000	2.000000
p	13.000000	10.000000
h	8.000000	6.000000
x	17.000000	15.000000
p	13.000000	10.000000
g	8.000000	6.000000
i	9.000000	8.000000
q	12.000000	10.000000
f	8.000000	6.000000
j	12.000000	17.000000
u	16.000000	13.000000
s	12.000000	10.000000
i	7.000000	6.000000
e	4.000000	4.000000
w	13.000000	11.000000
q	11.000000	9.000000
y	14.000000	12.000000
x	16.000000	14.000000
z	18.000000	16.000000
y	17.000000	15.000000
v	18.000000	15.000000
g	9.000000	6.000000
e	6.000000	4.000000
f	6.000000	5.000000
t	17.000000	14.000000
d	6.000000	4.000000
t	16.000000	13.000000
